"Commitment Description","Organisation/Actor","Amount","Timeline","Exact Quote","Reasoning"
"Deployment of SANDF to support police against gang violence and illegal mining in Western Cape and Gauteng","The President, Minister of Police, SANDF","N/A","within the next few days","I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.","To act to rid the country of gang violence and address the threat of organised crime."
"Recruitment of 5,500 additional police officers","South African Police Service (SAPS)","N/A","this year","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers, adding to the 20 000 new officers we announced in previous SoNAs.","To strengthen the fight against crime and make South Africa safe and secure."
"Introduction of the Whistle-Blower Protection Bill in Parliament","Government / Parliament","N/A","N/A","The Whistle-Blower Protection Bill will be introduced in Parliament. Among other things, this will criminalise retaliation and provide psychosocial, legal and financial support to whistle-blowers.","To ensure those who speak out against corruption are not victimised or targeted."
"Finalisation of new Public Procurement Act regulations","Government","N/A","by mid-2026","Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.","To restructure the procurement system and end corruption, where the majority of incidents originate."
"Public funding for water and sanitation infrastructure","Government","R156 billion","next three years","We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.","To ensure water security in the long term by building new dams and upgrading infrastructure."
"Incentive for metros to reform water, sanitation, and electricity services","Government / Metros","R54 billion","N/A","we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.","To ensure that revenue from water usage is put straight back into fixing pipes, reservoirs and pumping stations."
"Finalisation of a revised White Paper on Local Government","Government","N/A","in the coming months","Learning from our experience over the past 30 years, we will, in the coming months finalise a revised White Paper on Local Government.","To provide solutions for the functioning of an effective local government system."
"Public investment to build and maintain infrastructure","Government","R1 trillion","over three years","Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.","To invest in jobs, productivity and growth through infrastructure development."
"Deployment of 10,000 new Extension Officers to support farmers","Department of Agriculture","N/A","N/A","We will deploy 10 000 new Extension Officers to support farmers and improve agricultural productivity.","To improve agricultural productivity and create employment opportunities for young people."
"Vaccination of the national cattle herd against foot-and-mouth disease","The State / Minister of Agriculture","N/A","next 12 months","We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.","To deal with the outbreak damaging the economy and resulting in export bans."
"Extension of the Electronic Travel Authorisation System","Department of Home Affairs","N/A","In the coming year","In the coming year, we will extend the Electronic Travel Authorisation System to all countries that require a visa, enabling applications for tourists to be processed digitally within 24 hours.","To promote tourism as a driver of economic growth."
"Tax deduction for investment in new energy vehicles","Government","N/A","from March this year","From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles, while supporting the local production of batteries.","To pivot the economy towards green growth and leading supplier of future products."
"Target for raising new investments","Government","R2 trillion","over the next five years","We have now set ourselves a target of raising R2 trillion in new investments over the next five years.","To continue raising investment following the success of the first five Investment Conferences."
"Funding and guarantees for small and medium enterprises (SMEs)","Government","R3.5 billion (R2.5bn funding + R1bn guarantees)","this year","This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.","To back those who create opportunity and help SMEs overcome regulatory and financial hurdles."
"Increase employment equity targets for persons with disabilities in Public Service","Public Service / Government","N/A","by 2030","we are implementing decision to increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030, and to mandate a 7% preferential procurement target across all government and public entities.","To ensure that no one is left behind and correct the injustices of the past."
"Mission to end child stunting and tackle malnutrition","Government","N/A","by 2030","This year, we will embark on a mission to end child stunting by 2030 and tackle malnutrition among young children, in line with the National Strategy to Accelerate Action for Children.","To address a crisis that affects a child's ability to learn and grow and impacts society as a whole."
"Phase 4 construction of District Six restoration","Government","R500 million","N/A","With R500 million allocated to this work, we are proceeding with Phase 4 of construction. The restoration of District Six is a goal that we all seek and responsibility that we must all shoulder.","To redress the injustices of the past and build vibrant and cohesive communities."
"Rollout of Lenacapavir for HIV prevention","Department of Health","N/A","N/A","we will be undertaking a massive rollout of Lenacapavir, a six-monthly injection that has proven highly effective in preventing HIV transmission.","To prevent and ultimately eliminate HIV and imagine a country without AIDS."
"Hiring of additional labour inspectors","Government","N/A","this year","To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.","To crack down on violations of immigration and labour laws and address illegal immigration risks."
"Launch of Digital ID by Department of Home Affairs","Department of Home Affairs (DHA)","N/A","this year","This year, the DHA will launch a Digital ID to enable safe and secure use of digital services for all South Africans.","To harness digital transformation as a driver of growth, inclusion and effective service delivery."
"Expansion of public dialogues across South Africa","National Dialogue Steering Committee / Eminent Persons Group","N/A","this year","This year, the National Dialogue process will spread across South Africa, reaching every community, every school, every university and college and every part of our society.","To give citizens the opportunity to raise concerns, aspirations and plans for the future."
"Eradication of load reduction","Government / Provinces","N/A","by next year","We will work in each province to address transformer overloading, illegal connections and equipment failure with the objective of eradicating load reduction by next year.","To modernise the energy system and ensure consistent electricity supply."
